External ID,Park Name,Region ID,Address,Lat,Lng,Place_ID
-2147483494,Amnicon Falls,1,4279 County Rd U South Range WI 54874 United States,46.6081889,-91.8921781,ChIJH07djP_2rlIRV9_ybH3JhmA
-2147483429,Aztalan,4,N6200 County Rd Q Jefferson WI 53549 United States,43.0687467,-88.8631605,ChIJGzlA72N5BogRz2CoV9kHwjA
-2147483544,Big Bay,1,2402 Hagen Rd La Pointe WI 54850 United States,46.7881132,-90.6737266,ChIJO8InrrUBqVIRopyBLfzRHwU
-2147483542,Big Foot Beach,4,1550 S Lake Shore Dr Lake Geneva WI 53147 United States,42.5663477,-88.4344777,ChIJc_hsUU-KBYgRFQKIBOEAdGM
-2147483550,Black River,2,W10235 US-12 Black River Falls WI 54615 United States,44.2837706,-90.8288167,ChIJaQ1hAw_7_ocRIaxrNRFhCLg
-2147483515,Blue Mound,2,4350 Mounds Park Rd Blue Mounds WI 53517 United States,43.0256389,-89.8442746,ChIJb5bK862aB4gR6zHDdNiDt48
-2147483436,Brule River,1,6250 Ranger Rd Brule WI 54820 United States,46.5373987,-91.5927162,ChIJ05Z6truUrlIRGiIX81qUCMs
-2147483502,Brunet Island,1,23125 255th St Cornell WI 54732 United States,45.1799484,-91.1613807,ChIJA9LS9Z5Zq1IRDicQdHrR4So
-2147483492,Buckhorn,2,W8450 Buckhorn Park Ave Necedah WI 54646 United States,43.9457623,-90.0036019,ChIJDTNhWACoAIgRrv66WSJaY0Y
-2147483438,Cadiz Springs,2,N2241 Cadiz Springs Rd Browntown WI 53522 United States,42.58354,-89.7655688,ChIJbz6BLoXhB4gRaBMb3jfwRr0
-2147483427,Chippewa Flowage,1,N County Rd CC Hayward WI 54843 United States,45.9452841,-91.1978749,ChIJOcmzUkP0q1IR0kxAnxFNNEw
-2147483425,Chippewa Moraine,1,13394 Co Hwy M New Auburn WI 54757 United States,45.2235158,-91.4140998,ChIJpUsBEcGjrFIRd6WLmqVV61w
-2147483529,Copper Falls,1,36664 Copper Falls Rd Mellen WI 54546 United States,46.3795169,-90.6435225,ChIJ08M8wER4qVIRgo3J5u0b_QA
-2147483485,Council Grounds,3,N1895 Council Grounds Dr Merrill WI 54452 United States,45.187002,-89.7345548,ChIJWeObl1NGVU0RzOxbxgl7BTs
-2147483637,Devil's Lake,2,S5975 Park Rd Baraboo WI 53913 United States,43.4284471,-89.7313678,ChIJxQy76QlrB4gRw9d31oL138M
-2147483423,Elroy-Sparta,2,Elroy Sparta State Trail Wisconsin 54656 USA,43.8954816,-90.7471167,ChIJ32L6id2E_ocRhatAm2KUlvo
-2147483521,Flambeau River,1,Flambeau River State Forest Winter WI 54896 USA,45.6791306,-90.7801514,ChIJidYNQ_ulq1IRx3mmyAbfxWQ
-2147483470,Glacial Drumlin,4,Glacial Drumlin Bike Trail Wisconsin USA,43.0514385,-88.9993537,ChIJwd_ZbNB6BogRqfak52Fg4Ik
-2147483596,Governor Dodge,2,4175 WI-23 Dodgeville WI 53533 United States,43.0184969,-90.139673,ChIJy8RRKil7_YcRG3JxeH2OUTk
-2147483509,Governor Earl Peshtigo River,3,N10008 Paust Ln Crivitz WI 54114 United States,45.2952181,-88.1983874,ChIJARvFW8TcUk0Rz74WsjJZiqg
-2147483420,Governor Knowles,1,325 WI-70 Grantsburg WI 54840 United States,45.7723182,-92.7758686,ChIJ_fvcYZhxslIRUkPsmS6tkoE
-2147483416,Governor Nelson,2,5140 Co Hwy M Waunakee WI 53597 United States,43.1375035,-89.4399226,ChIJaZ6xLP6qB4gRUsPvI1p5MGg
-2147483512,Governor Thompson,3,N10008 Paust Ln Crivitz WI 54114 United States,45.3233753,-88.2220297,ChIJ2dnegjEZU00R6f1DJdKayuU
-2147483546,Harrington Beach,4,531 Co Rd D Belgium WI 53004 United States,43.4928723,-87.803671,ChIJOwwhfRq_BIgRPeecEHFSYrQ
